season,week,position,pool_n,repl_rank,repl_fwd3,pool_mean,decision_rank_before,decision_pts,repl_pctile
2016,7,TE,42,2,14.9500,4.7901,4.7000,10.1000,0.9524
2016,7,WR,72,6,7.9000,2.7547,7.9000,12.9000,0.9167
2016,8,QB,14,2,15.0700,7.7493,15.0700,3.7267,0.8571
2016,8,RB,23,5,3.0000,2.5355,1.3500,1.1500,0.7826
2016,8,TE,36,2,14.9000,4.1065,7.8000,7.8000,0.9444
2016,8,WR,54,6,6.7000,2.5951,0.0000,2.3000,0.8889
2016,9,QB,14,2,20.4467,7.0050,21.9200,11.3000,0.8571
2016,9,RB,28,5,2.3000,1.4899,0.0000,0.0000,0.8214
2016,9,TE,35,2,9.0500,2.9714,2.3000,2.3000,0.9429
2016,9,WR,59,6,6.9333,2.8387,3.7667,5.3333,0.8983
2016,10,QB,14,2,15.6467,7.6676,14.5100,10.1667,0.8571
2016,10,RB,27,5,4.5333,2.1963,5.0333,0.5667,0.8148
2016,10,TE,47,2,11.6667,2.9716,7.1667,1.4000,0.9574
2016,10,WR,62,6,7.6000,2.7624,3.6333,8.2500,0.9032
2016,11,QB,15,2,15.6400,8.1573,20.0133,15.6400,0.8667
2016,11,RB,33,5,5.3333,2.5475,0.0000,4.7000,0.8485
2016,11,TE,42,2,13.0333,4.1202,2.5667,16.9000,0.9524
2016,11,WR,58,6,8.0333,3.1138,1.9333,6.6333,0.8966
2016,12,QB,16,2,13.3000,7.8533,18.3067,8.2800,0.8750
2016,12,RB,42,5,6.5333,2.8540,4.8000,6.0667,0.8810
2016,12,TE,50,2,11.6333,4.1513,19.3667,2.3667,0.9600
2016,12,WR,82,6,8.7333,3.0608,7.2667,4.0500,0.9268
2016,13,QB,21,2,16.9333,6.5283,15.4267,0.5333,0.9048
2016,13,RB,37,5,6.7667,2.5676,11.3333,1.4000,0.8649
2016,13,TE,46,2,7.9000,2.9957,7.9000,6.9333,0.9565
2016,13,WR,74,6,9.9000,2.8554,0.0000,0.7000,0.9189
2016,14,QB,18,2,18.6067,10.2581,18.7267,18.6067,0.8889
2016,14,RB,45,5,8.4667,3.6059,10.3000,10.3000,0.8889
2016,14,TE,52,2,10.2667,3.6071,9.0000,4.1333,0.9615
2016,14,WR,75,6,7.8000,3.2240,12.0333,0.8667,0.9200
2016,15,QB,20,2,23.5100,10.3405,17.7300,24.1600,0.9000
2016,15,RB,41,5,11.2500,4.6537,8.9500,18.0500,0.8780
2016,15,TE,54,2,8.1500,3.0176,0.0000,1.5000,0.9630
2016,15,WR,81,6,8.1500,3.0506,6.4500,3.3000,0.9259
2016,16,QB,22,2,22.4000,9.5845,7.2000,24.6600,0.9091
2016,16,RB,39,5,10.6000,5.0359,19.0000,6.2000,0.8718
2016,16,TE,50,2,10.3000,2.3480,3.2000,2.7000,0.9600
2016,16,WR,82,6,10.8000,3.2720,3.5000,9.1000,0.9268
2017,2,QB,16,2,23.7000,15.8613,11.0267,11.0267,0.8750
2017,2,RB,42,5,6.5667,3.2563,0.0000,0.0000,0.8810
2017,2,TE,58,2,13.3333,3.5411,11.6333,3.0667,0.9655
2017,2,WR,78,6,10.2667,3.6865,9.3333,1.2333,0.9231
2017,3,QB,18,2,20.8300,10.6491,1.5733,13.8400,0.8889
2017,3,RB,42,5,8.7667,3.5952,0.0000,10.7667,0.8810
2017,3,TE,50,2,13.3667,4.2780,3.9000,9.2000,0.9600
2017,3,WR,81,6,8.2333,3.0432,7.8000,0.4000,0.9259
2017,4,QB,20,2,18.1000,9.6073,9.8267,11.8600,0.9000
2017,4,RB,53,5,7.1500,3.2066,17.7333,15.3000,0.9057
2017,4,TE,52,2,14.9000,4.6019,1.1500,6.3000,0.9615
2017,4,WR,77,6,7.8000,3.1128,1.7000,7.8000,0.9221
2017,5,QB,13,2,12.3333,6.1149,21.0000,2.4000,0.8462
2017,5,RB,32,5,6.8500,3.2359,13.0000,4.0500,0.8438
2017,5,TE,48,2,9.4667,2.8549,4.8667,6.4000,0.9583
2017,5,WR,58,6,6.1500,2.7744,20.1000,7.4500,0.8966
2017,6,QB,14,2,17.1000,10.6762,19.8800,14.1467,0.8571
2017,6,RB,35,5,7.5000,3.2719,12.8333,0.8000,0.8571
2017,6,TE,41,2,9.4000,3.3386,2.8500,2.1000,0.9512
2017,6,WR,63,6,5.3000,1.9119,1.3000,2.1667,0.9048
2017,7,QB,18,2,17.6867,11.1698,15.5133,16.2933,0.8889
2017,7,RB,39,5,9.3500,3.9158,13.5000,1.6333,0.8718
2017,7,TE,50,2,10.4667,2.9023,10.6000,6.9667,0.9600
2017,7,WR,75,6,7.1667,2.4587,1.5000,1.9000,0.9200
2017,8,QB,11,2,16.6733,10.6900,12.8333,16.6733,0.8182
2017,8,RB,26,5,6.5667,3.7487,6.5667,19.0500,0.8077
2017,8,TE,40,2,10.0000,3.4421,6.5500,0.8000,0.9500
2017,8,WR,52,6,5.4500,2.1397,1.1000,0.5000,0.8846
2017,9,QB,13,2,13.3867,7.1390,5.2800,16.5800,0.8462
2017,9,RB,30,5,7.4333,4.3750,13.3667,4.8667,0.8333
2017,9,TE,36,2,8.6667,2.1537,9.4000,7.5667,0.9444
2017,9,WR,55,6,5.1667,2.3806,8.7667,0.0000,0.8909
2017,10,QB,16,2,11.3600,5.6127,13.0600,13.0600,0.8750
2017,10,RB,34,5,10.3667,3.7358,4.5667,4.9333,0.8529
2017,10,TE,45,2,7.3667,2.1741,1.9667,8.0333,0.9556
2017,10,WR,62,6,5.3500,2.0081,5.1333,3.2333,0.9032
2017,11,QB,15,2,15.3533,7.9636,17.0267,15.3533,0.8667
2017,11,RB,31,5,10.0333,4.8462,2.2333,0.0000,0.8387
2017,11,TE,50,2,9.4000,2.6647,0.0000,5.1667,0.9600
2017,11,WR,61,6,5.8333,2.4148,4.5333,4.5333,0.9016
2017,12,QB,19,2,18.5400,8.7860,9.1400,11.2200,0.8947
2017,12,RB,39,5,9.8000,4.7205,4.9667,4.9667,0.8718
2017,12,TE,47,2,8.8667,3.2560,4.8000,6.6333,0.9574
2017,12,WR,69,6,6.7000,2.5213,6.3000,1.5000,0.9130
2017,13,QB,19,2,17.8133,8.0330,10.9667,10.9667,0.8947
2017,13,RB,41,5,7.6333,3.9098,5.8000,5.1000,0.8780
2017,13,TE,55,2,10.0000,2.7352,0.0000,2.3333,0.9636
2017,13,WR,81,6,7.3667,2.5481,7.8333,1.3000,0.9259
2017,14,QB,20,2,17.7400,7.8293,13.0867,12.1000,0.9000
2017,14,RB,45,5,6.5333,2.7948,1.5333,1.6333,0.8889
2017,14,TE,59,2,11.4333,2.5040,1.4000,6.3667,0.9661
2017,14,WR,77,6,8.0000,2.9255,2.2000,3.6667,0.9221
2017,15,QB,19,2,15.7000,6.7916,14.3700,4.0400,0.8947
2017,15,RB,37,5,9.0000,3.6000,9.0500,9.0500,0.8649
2017,15,TE,60,2,10.0500,2.3783,4.0500,1.9000,0.9667
2017,15,WR,80,6,8.2000,2.7025,3.8000,2.7500,0.9250
2017,16,QB,18,2,20.6800,8.5033,23.7200,14.1200,0.8889
2017,16,RB,41,5,8.9000,3.8268,1.3000,8.9000,0.8780
2017,16,TE,56,2,11.3000,2.1786,14.0000,14.0000,0.9643
2017,16,WR,75,6,10.4000,3.4760,7.6000,1.4000,0.9200
2018,2,QB,17,2,20.1600,11.4925,25.7000,27.9400,0.8824
2018,2,RB,43,5,8.2667,3.6198,1.3000,1.4000,0.8837
2018,2,TE,48,2,11.4000,4.3132,5.9000,8.9667,0.9583
2018,2,WR,75,6,10.8667,4.1729,2.6000,8.9333,0.9200
2018,3,QB,19,2,22.0933,12.2095,27.0000,0.0000,0.8947
2018,3,RB,40,5,9.7000,4.0204,8.0667,7.7000,0.8750
2018,3,TE,52,2,9.8500,3.8433,4.6000,4.6000,0.9615
2018,3,WR,76,6,10.8000,4.2232,7.4000,10.3000,0.9211
2018,4,QB,17,2,22.6933,14.3125,16.4667,9.0000,0.8824
2018,4,RB,30,5,5.5667,2.9989,4.0000,7.3667,0.8333
2018,4,TE,51,2,9.0000,2.7444,2.9333,5.9000,0.9608
2018,4,WR,69,6,10.2333,4.0891,10.6000,0.0000,0.9130
2018,5,QB,17,2,15.7733,9.4320,24.8700,12.1667,0.8824
2018,5,RB,36,5,6.7667,2.8801,0.0000,5.2667,0.8611
2018,5,TE,50,2,5.6333,1.8003,2.3000,0.0000,0.9600
2018,5,WR,74,6,9.1667,3.5580,7.9000,8.3000,0.9189
2018,6,QB,17,2,17.6267,9.3129,17.5200,10.4533,0.8824
2018,6,RB,34,5,7.5000,3.5686,3.1000,-0.0500,0.8529
2018,6,TE,49,2,10.5667,2.6449,0.0333,11.0000,0.9592
2018,6,WR,69,6,11.5500,4.4502,4.3000,0.0000,0.9130
2018,7,QB,15,2,18.2067,8.0669,22.1200,22.1200,0.8667
2018,7,RB,28,5,5.0333,2.4571,5.4667,3.2333,0.8214
2018,7,TE,43,2,12.4000,3.1288,11.0500,0.7500,0.9535
2018,7,WR,62,6,8.4000,2.9244,0.0500,6.9000,0.9032
2018,8,QB,17,2,11.2867,5.9918,11.2867,10.8300,0.8824
2018,8,RB,29,5,5.5667,2.6822,0.0000,1.2000,0.8276
2018,8,TE,45,2,12.1667,3.2489,8.6000,8.6000,0.9556
2018,8,WR,53,6,8.7500,2.7330,9.4667,1.1000,0.8868
2018,9,QB,13,2,15.9467,7.2197,0.0000,24.2800,0.8462
2018,9,RB,27,5,4.0333,2.4309,7.3000,0.0000,0.8148
2018,9,TE,34,2,11.9000,3.3480,2.1667,0.8500,0.9412
2018,9,WR,56,6,8.9000,2.4354,2.9333,2.0667,0.8929
2018,10,QB,14,2,15.8667,8.6110,13.2733,11.3067,0.8571
2018,10,RB,34,5,5.8333,2.8500,0.3500,2.5500,0.8529
2018,10,TE,46,2,9.8667,2.9649,6.2667,0.0000,0.9565
2018,10,WR,55,6,7.7500,3.5558,6.9667,3.3000,0.8909
2018,11,QB,14,2,17.5800,9.5252,0.0000,17.5800,0.8571
2018,11,RB,22,5,5.2000,3.2985,5.2000,0.3000,0.7727
2018,11,TE,43,2,9.3500,3.0438,0.0000,0.5000,0.9535
2018,11,WR,53,6,5.9000,2.6047,6.9000,0.0000,0.8868
2018,12,QB,16,2,17.2733,9.1525,10.6600,10.6600,0.8750
2018,12,RB,35,5,9.3667,4.8267,0.5333,0.0000,0.8571
2018,12,TE,49,2,7.1667,2.2327,5.1000,1.6333,0.9592
2018,12,WR,70,6,7.2667,2.8414,1.7333,1.5667,0.9143
2018,13,QB,18,2,13.5733,7.5481,5.1667,12.7800,0.8889
