scheme,season,week,arm,rank_within_arm,player,position,team,pts_prior_week,fwd3,fwd3_span,week_ceiling,pool_mean_pos,pool_n_pos,vs_pos,edge,train_seasons
walk_forward,2023,12,naive,2,Pat Freiermuth,TE,PIT,21.0000,5.7667,3,22.9400,3.7177,47,2.0489,,2022
walk_forward,2023,12,naive,3,Kyler Murray,QB,ARI,20.4400,12.5700,2,22.9400,8.3815,18,4.1885,,2022
walk_forward,2023,13,repo,1,DeVante Parker,WR,NE,8.4000,5.1333,3,20.6733,2.6848,47,2.4486,4.5397,2022
walk_forward,2023,13,repo,2,Kyler Murray,QB,ARI,11.8000,16.8700,2,20.6733,7.9540,15,8.9160,4.1006,2022
walk_forward,2023,13,repo,3,Cedric Tillman,WR,CLE,3.0000,4.2667,3,20.6733,2.6848,47,1.5819,4.0287,2022
walk_forward,2023,13,naive,1,Jake Browning,QB,CIN,26.1600,18.6867,3,20.6733,7.9540,15,10.7327,,2022
walk_forward,2023,13,naive,2,Joe Flacco,QB,CLE,16.1600,20.6733,3,20.6733,7.9540,15,12.7193,,2022
walk_forward,2023,13,naive,3,Harrison Bryant,TE,CLE,15.9000,0.5333,3,20.6733,2.5926,43,-2.0593,,2022
walk_forward,2023,14,repo,1,JuJu Smith-Schuster,WR,NE,11.0000,0.0000,3,21.4467,2.1958,72,-2.1958,6.5311,2022
walk_forward,2023,14,repo,2,Zay Jones,WR,JAX,5.4000,2.8000,3,21.4467,2.1958,72,0.6042,4.0645,2022
walk_forward,2023,14,repo,3,Jonathan Mingo,WR,CAR,3.2000,2.5333,3,21.4467,2.1958,72,0.3375,3.5613,2022
walk_forward,2023,14,naive,1,Desmond Ridder,QB,ATL,25.3800,2.1867,3,21.4467,7.8706,17,-5.6839,,2022
walk_forward,2023,14,naive,2,Jake Browning,QB,CIN,23.7000,17.8133,3,21.4467,7.8706,17,9.9427,,2022
walk_forward,2023,14,naive,3,Bailey Zappe,QB,NE,20.9000,12.6333,3,21.4467,7.8706,17,4.7627,,2022
walk_forward,2023,15,repo,1,Jonathan Mingo,WR,CAR,5.2000,0.8000,3,20.6200,2.6559,82,-1.8559,7.0471,2022
walk_forward,2023,15,repo,2,Kyler Murray,QB,ARI,13.3400,20.6200,3,20.6200,7.4409,23,13.1791,5.8300,2022
walk_forward,2023,15,repo,3,DeVante Parker,WR,NE,6.9000,3.8667,3,20.6200,2.6559,82,1.2107,4.2932,2022
walk_forward,2023,15,naive,1,Aidan O'Connell,QB,LV,25.9200,13.4000,3,20.6200,7.4409,23,5.9591,,2022
walk_forward,2023,15,naive,2,Ty Chandler,RB,MIN,23.2000,8.5000,3,20.6200,2.1294,42,6.3706,,2022
walk_forward,2023,15,naive,3,Josh Palmer,WR,LAC,19.3000,5.0667,3,20.6200,2.6559,82,2.4107,,2022
walk_forward,2023,16,repo,1,DeVante Parker,WR,NE,8.5000,1.5500,2,20.7300,2.5028,83,-0.9528,5.1627,2022
walk_forward,2023,16,repo,2,Demarcus Robinson,WR,LA,17.2000,5.1000,2,20.7300,2.5028,83,2.5972,3.4575,2022
walk_forward,2023,16,repo,3,Zamir White,RB,LV,14.5000,12.8500,2,20.7300,2.4486,37,10.4014,2.6242,2022
walk_forward,2023,16,naive,1,Joe Flacco,QB,CLE,24.8200,11.3300,2,20.7300,9.1063,19,2.2237,,2022
walk_forward,2023,16,naive,2,Kyler Murray,QB,ARI,20.4000,20.7300,2,20.7300,9.1063,19,11.6237,,2022
walk_forward,2023,16,naive,3,Mason Rudolph,QB,PIT,20.0000,9.7200,2,20.7300,9.1063,19,0.6137,,2022
walk_forward,2023,17,repo,1,Jamaal Williams,RB,NO,9.1000,10.9000,1,20.8000,2.0868,38,8.8132,9.7626,2022
walk_forward,2023,17,repo,2,Zamir White,RB,LV,13.1000,12.6000,1,20.8000,2.0868,38,10.5132,3.3517,2022
walk_forward,2023,17,repo,3,Juwan Johnson,TE,NO,23.0000,7.0000,1,20.8000,2.8894,47,4.1106,2.1740,2022
walk_forward,2023,17,naive,1,Kyler Murray,QB,ARI,23.6800,17.7800,1,20.8000,8.0236,22,9.7564,,2022
walk_forward,2023,17,naive,2,Juwan Johnson,TE,NO,23.0000,7.0000,1,20.8000,2.8894,47,4.1106,,2022
walk_forward,2023,17,naive,3,Joe Flacco,QB,CLE,22.6600,0.0000,1,20.8000,8.0236,22,-8.0236,,2022
walk_forward,2024,2,repo,1,Chuba Hubbard,RB,CAR,9.6000,20.3333,3,25.1400,3.2865,42,17.0468,4.4269,"2022,2023"
walk_forward,2024,2,repo,2,Javonte Williams,RB,DEN,9.0000,8.9000,3,25.1400,3.2865,42,5.6135,3.7000,"2022,2023"
walk_forward,2024,2,repo,3,Cade Otton,TE,TB,-0.4000,9.4333,3,25.1400,2.8093,52,6.6240,3.4656,"2022,2023"
walk_forward,2024,2,naive,1,Marvin Harrison Jr.,WR,ARI,27.0000,10.8333,3,25.1400,3.6247,74,7.2086,,"2022,2023"
walk_forward,2024,2,naive,2,Hunter Henry,TE,NE,18.9000,3.7667,3,25.1400,2.8093,52,0.9574,,"2022,2023"
walk_forward,2024,2,naive,3,Braelon Allen,RB,NYJ,18.6000,5.5667,3,25.1400,3.2865,42,2.2802,,"2022,2023"
walk_forward,2024,3,repo,1,Carson Steele,RB,KC,7.9000,0.1500,2,25.8900,3.3785,45,-3.2285,8.0239,"2022,2023"
walk_forward,2024,3,repo,2,Cade Otton,TE,TB,9.7000,9.3667,3,25.8900,3.4698,53,5.8969,4.8254,"2022,2023"
walk_forward,2024,3,repo,3,Terry McLaurin,WR,WAS,18.0000,15.4667,3,25.8900,3.4936,78,11.9730,3.7167,"2022,2023"
walk_forward,2024,3,naive,1,Cole Kmet,TE,CHI,25.7000,13.0333,3,25.8900,3.4698,53,9.5635,,"2022,2023"
walk_forward,2024,3,naive,2,Malik Willis,QB,GB,25.3800,0.0000,3,25.8900,7.6470,22,-7.6470,,"2022,2023"
walk_forward,2024,3,naive,3,Andy Dalton,QB,CAR,24.5600,11.4600,3,25.8900,7.6470,22,3.8130,,"2022,2023"
walk_forward,2024,4,repo,1,Cade Otton,TE,TB,11.2000,11.6333,3,26.1000,3.3585,47,8.2748,9.4174,"2022,2023"
walk_forward,2024,4,repo,2,Jordan Love,QB,GB,28.1600,19.4600,3,26.1000,10.9769,17,8.4831,5.4467,"2022,2023"
walk_forward,2024,4,repo,3,Travis Kelce,TE,KC,15.9000,10.8500,2,26.1000,3.3585,47,7.4915,2.3630,"2022,2023"
walk_forward,2024,4,naive,1,Jordan Love,QB,GB,28.1600,19.4600,3,26.1000,10.9769,17,8.4831,,"2022,2023"
walk_forward,2024,4,naive,2,Jared Goff,QB,DET,26.6800,21.9500,2,26.1000,10.9769,17,10.9731,,"2022,2023"
walk_forward,2024,4,naive,3,Dontayvion Wicks,WR,GB,22.3000,5.5667,3,26.1000,2.9979,79,2.5687,,"2022,2023"
walk_forward,2024,5,repo,1,Raheem Mostert,RB,MIA,10.8000,9.2500,2,21.5200,3.4887,28,5.7613,16.0467,"2022,2023"
walk_forward,2024,5,repo,2,Kareem Hunt,RB,KC,18.2000,17.0500,2,21.5200,3.4887,28,13.5613,10.3339,"2022,2023"
walk_forward,2024,5,repo,3,Cade Otton,TE,TB,7.4000,18.8667,3,21.5200,3.7659,42,15.1008,8.3928,"2022,2023"
walk_forward,2024,5,naive,1,Kirk Cousins,QB,ATL,34.3600,16.1067,3,21.5200,7.8933,17,8.2133,,"2022,2023"
walk_forward,2024,5,naive,2,Joe Flacco,QB,IND,26.5600,4.5533,3,21.5200,7.8933,17,-3.3400,,"2022,2023"
walk_forward,2024,5,naive,3,Caleb Williams,QB,CHI,23.5600,19.2900,2,21.5200,7.8933,17,11.3967,,"2022,2023"
walk_forward,2024,6,repo,1,Jared Goff,QB,DET,25.1000,14.6333,3,19.4333,4.9622,15,9.6711,7.7780,"2022,2023"
walk_forward,2024,6,repo,2,Joe Flacco,QB,IND,13.6600,1.0200,3,19.4333,4.9622,15,-3.9422,7.7780,"2022,2023"
walk_forward,2024,6,repo,3,Keenan Allen,WR,CHI,18.6000,5.2500,2,19.4333,2.9739,58,2.2761,3.0846,"2022,2023"
walk_forward,2024,6,naive,1,Sean Tucker,RB,TB,32.7000,2.8333,3,19.4333,1.6529,34,1.1804,,"2022,2023"
walk_forward,2024,6,naive,2,Jordan Love,QB,GB,25.6200,11.1533,3,19.4333,4.9622,15,6.1911,,"2022,2023"
walk_forward,2024,6,naive,3,Jared Goff,QB,DET,25.1000,14.6333,3,19.4333,4.9622,15,9.6711,,"2022,2023"
walk_forward,2024,7,repo,1,Andy Dalton,QB,CAR,0.0200,0.0000,3,21.1000,6.1902,22,-6.1902,4.0612,"2022,2023"
walk_forward,2024,7,repo,2,Mason Tipton,WR,NO,7.5000,0.8000,3,21.1000,2.7403,67,-1.9403,2.0403,"2022,2023"
walk_forward,2024,7,repo,3,Josh Palmer,WR,LAC,8.3000,8.5333,3,21.1000,2.7403,67,5.7930,1.5667,"2022,2023"
walk_forward,2024,7,naive,1,Russell Wilson,QB,PIT,24.8600,15.9600,2,21.1000,6.1902,22,9.7698,,"2022,2023"
walk_forward,2024,7,naive,2,David Njoku,TE,CLE,23.6000,12.5000,2,21.1000,3.3879,51,9.1121,,"2022,2023"
walk_forward,2024,7,naive,3,Jonnu Smith,TE,MIA,22.6000,7.7000,3,21.1000,3.3879,51,4.3121,,"2022,2023"
walk_forward,2024,8,repo,1,Nick Chubb,RB,CLE,5.2000,4.5000,2,21.5067,1.7826,43,2.7174,11.4660,"2022,2023"
walk_forward,2024,8,repo,2,David Njoku,TE,CLE,17.1000,13.5000,2,21.5067,3.7525,56,9.7475,2.9765,"2022,2023"
walk_forward,2024,8,repo,3,Isaac Guerendo,RB,SF,17.7000,0.0000,2,21.5067,1.7826,43,-1.7826,2.9521,"2022,2023"
walk_forward,2024,8,naive,1,Cedric Tillman,WR,CLE,25.4000,11.3500,2,21.5067,2.4265,78,8.9235,,"2022,2023"
walk_forward,2024,8,naive,2,Matthew Stafford,QB,LA,24.7600,18.4800,3,21.5067,9.4304,18,9.0496,,"2022,2023"
walk_forward,2024,8,naive,3,Justin Herbert,QB,LAC,24.0600,21.2067,3,21.5067,9.4304,18,11.7763,,"2022,2023"
walk_forward,2024,9,repo,1,Chris Brooks,RB,GB,5.6000,2.7000,2,24.2600,1.8361,36,0.8639,1.4987,"2022,2023"
walk_forward,2024,9,repo,2,Justin Herbert,QB,LAC,19.4800,20.5867,3,24.2600,11.2789,15,9.3078,1.3294,"2022,2023"
walk_forward,2024,9,repo,3,Evan Engram,TE,JAX,11.5000,8.9000,2,24.2600,3.7552,50,5.1448,1.2354,"2022,2023"
walk_forward,2024,9,naive,1,Patrick Mahomes,QB,KC,24.5400,20.3800,3,24.2600,11.2789,15,9.1011,,"2022,2023"
walk_forward,2024,9,naive,2,Daniel Jones,QB,NYG,24.3600,6.1000,2,24.2600,11.2789,15,-5.1789,,"2022,2023"
walk_forward,2024,9,naive,3,Justin Herbert,QB,LAC,19.4800,20.5867,3,24.2600,11.2789,15,9.3078,,"2022,2023"
walk_forward,2024,10,repo,1,Bryce Young,QB,CAR,12.0400,20.0700,2,25.7333,11.3683,14,8.7017,4.2192,"2022,2023"
walk_forward,2024,10,repo,2,Adonai Mitchell,WR,IND,10.1000,1.8333,3,25.7333,2.0464,55,-0.2130,3.1620,"2022,2023"
walk_forward,2024,10,repo,3,Ricky Pearsall,WR,SF,15.3000,0.0000,3,25.7333,2.0464,55,-2.0464,2.9688,"2022,2023"
walk_forward,2024,10,naive,1,Marquez Valdes-Scantling,WR,NO,24.4000,13.1500,2,25.7333,2.0464,55,11.1036,,"2022,2023"
walk_forward,2024,10,naive,2,Derek Carr,QB,NO,20.4600,16.6400,2,25.7333,11.3683,14,5.2717,,"2022,2023"
walk_forward,2024,10,naive,3,Will Levis,QB,TEN,19.1000,15.9667,3,25.7333,11.3683,14,4.5983,,"2022,2023"
walk_forward,2024,11,repo,1,Derek Carr,QB,NO,18.7200,13.2600,2,25.7400,13.1287,13,0.1313,7.5298,"2022,2023"
walk_forward,2024,11,repo,2,Jameis Winston,QB,CLE,26.6000,20.5733,3,25.7400,13.1287,13,7.4446,7.5298,"2022,2023"
walk_forward,2024,11,repo,3,Devaughn Vele,WR,DEN,8.6000,6.5500,2,25.7400,2.2910,59,4.2590,2.5984,"2022,2023"
walk_forward,2024,11,naive,1,Taysom Hill,TE,NO,41.5200,4.8500,2,25.7400,3.1344,48,1.7156,,"2022,2023"
walk_forward,2024,11,naive,2,Anthony Richardson,QB,IND,28.0800,17.0700,2,25.7400,13.1287,13,3.9413,,"2022,2023"
walk_forward,2024,11,naive,3,Matthew Stafford,QB,LA,27.8000,18.5467,3,25.7400,13.1287,13,5.4179,,"2022,2023"
walk_forward,2024,12,repo,1,Nick Chubb,RB,CLE,18.5000,6.1333,3,17.5267,1.9947,25,4.1387,12.1335,"2022,2023"
walk_forward,2024,12,repo,2,Tua Tagovailoa,QB,MIA,28.4800,17.5267,3,17.5267,7.9262,13,9.6005,6.0795,"2022,2023"
walk_forward,2024,12,repo,3,Bryce Young,QB,CAR,16.5200,16.0400,3,17.5267,7.9262,13,8.1138,4.9125,"2022,2023"
walk_forward,2024,12,naive,1,Tua Tagovailoa,QB,MIA,28.4800,17.5267,3,17.5267,7.9262,13,9.6005,,"2022,2023"
walk_forward,2024,12,naive,2,Nick Chubb,RB,CLE,18.5000,6.1333,3,17.5267,1.9947,25,4.1387,,"2022,2023"
walk_forward,2024,12,naive,3,T.J. Hockenson,TE,MIN,18.4000,8.1667,3,17.5267,2.6789,38,5.4877,,"2022,2023"
walk_forward,2024,13,repo,1,Derek Carr,QB,NO,14.5600,3.9867,3,17.4600,8.6896,18,-4.7030,4.7739,"2022,2023"
walk_forward,2024,13,repo,2,David Moore,WR,CAR,6.5000,5.7667,3,17.4600,2.4063,76,3.3604,2.0933,"2022,2023"
walk_forward,2024,13,repo,3,Will Levis,QB,TEN,16.1800,0.8600,3,17.4600,8.6896,18,-7.8296,2.0382,"2022,2023"
walk_forward,2024,13,naive,1,Jameis Winston,QB,CLE,32.9800,4.9733,3,17.4600,8.6896,18,-3.7163,,"2022,2023"
walk_forward,2024,13,naive,2,Russell Wilson,QB,PIT,26.8600,13.2733,3,17.4600,8.6896,18,4.5837,,"2022,2023"
walk_forward,2024,13,naive,3,Tua Tagovailoa,QB,MIA,25.2000,13.2933,3,17.4600,8.6896,18,4.6037,,"2022,2023"
walk_forward,2024,14,repo,1,Sincere McCormick,RB,LV,9.9000,1.1667,3,18.6667,1.2720,25,-0.1053,7.3308,"2022,2023"
walk_forward,2024,14,repo,2,Jalen McMillan,WR,TB,19.9000,16.9000,3,18.6667,1.8560,52,15.0440,3.3000,"2022,2023"
walk_forward,2024,14,repo,3,Cooper Rush,QB,DAL,13.8200,13.4733,3,18.6667,6.3257,14,7.1476,2.4024,"2022,2023"
walk_forward,2024,14,naive,1,Jalen McMillan,WR,TB,19.9000,16.9000,3,18.6667,1.8560,52,15.0440,,"2022,2023"
walk_forward,2024,14,naive,2,Tim Patrick,WR,DET,19.3000,4.3333,3,18.6667,1.8560,52,2.4773,,"2022,2023"
walk_forward,2024,14,naive,3,Russell Wilson,QB,PIT,16.0200,13.8333,3,18.6667,6.3257,14,7.5076,,"2022,2023"
walk_forward,2024,15,repo,1,Anthony Richardson,QB,IND,13.8800,6.7467,3,26.8267,4.9419,25,1.8048,7.2118,"2022,2023"
walk_forward,2024,15,repo,2,Russell Wilson,QB,PIT,8.4200,14.8667,3,26.8267,4.9419,25,9.9248,4.6177,"2022,2023"
walk_forward,2024,15,repo,3,Kimani Vidal,RB,LAC,3.2000,1.6000,3,26.8267,2.4343,36,-0.8343,2.5500,"2022,2023"
walk_forward,2024,15,naive,1,Tyjae Spears,RB,TEN,24.2000,10.6333,3,26.8267,2.4343,36,8.1991,,"2022,2023"
walk_forward,2024,15,naive,2,Cooper Rush,QB,DAL,19.0600,7.1200,3,26.8267,4.9419,25,2.1781,,"2022,2023"
walk_forward,2024,15,naive,3,Jalen Coker,WR,CAR,19.0000,5.5867,3,26.8267,3.2886,80,2.2981,,"2022,2023"
walk_forward,2024,16,repo,1,Kendre Miller,RB,NO,4.1000,1.2000,2,26.6800,2.2927,41,-1.0927,2.0833,"2022,2023"
walk_forward,2024,16,repo,2,Adam Thielen,WR,CAR,12.8000,16.2000,2,26.6800,3.2571,75,12.9429,1.4879,"2022,2023"
walk_forward,2024,16,repo,3,Brenton Strange,TE,JAX,2.2000,5.0000,2,26.6800,3.1578,51,1.8422,1.3930,"2022,2023"
walk_forward,2024,16,naive,1,Bryce Young,QB,CAR,27.1200,26.6800,2,26.6800,8.8700,16,17.8100,,"2022,2023"
walk_forward,2024,16,naive,2,Olamide Zaccheaus,WR,WAS,21.5000,12.7000,2,26.6800,3.2571,75,9.4429,,"2022,2023"
walk_forward,2024,16,naive,3,Anthony Richardson,QB,IND,20.2400,0.0000,2,26.6800,8.8700,16,-8.8700,,"2022,2023"
walk_forward,2024,17,repo,1,Cooper Rush,QB,DAL,6.0800,0.0000,1,36.4400,8.5139,23,-8.5139,5.0341,"2022,2023"
walk_forward,2024,17,repo,2,Aidan O'Connell,QB,LV,17.5800,15.8600,1,36.4400,8.5139,23,7.3461,4.6675,"2022,2023"
walk_forward,2024,17,repo,3,Brandin Cooks,WR,DAL,7.2000,2.5000,1,36.4400,3.1067,83,-0.6067,2.1055,"2022,2023"
walk_forward,2024,17,naive,1,Drew Lock,QB,NYG,34.3600,7.8200,1,36.4400,8.5139,23,-0.6939,,"2022,2023"
walk_forward,2024,17,naive,2,Ricky Pearsall,WR,SF,24.7000,15.9000,1,36.4400,3.1067,83,12.7933,,"2022,2023"
walk_forward,2024,17,naive,3,Tyler Huntley,QB,MIA,24.2000,8.6800,1,36.4400,8.5139,23,0.1661,,"2022,2023"
walk_forward,2025,2,repo,1,Ja'Marr Chase,WR,CIN,29.5000,12.4000,3,23.7600,2.9889,78,9.4111,3.6790,"2022,2023,2024"
walk_forward,2025,2,repo,2,Nico Collins,WR,HOU,12.7000,14.1000,3,23.7600,2.9889,78,11.1111,3.5777,"2022,2023,2024"
walk_forward,2025,2,repo,3,Sam Darnold,QB,SEA,15.8000,20.1467,3,23.7600,9.5682,22,10.5785,3.5125,"2022,2023,2024"
walk_forward,2025,2,naive,1,Jared Goff,QB,DET,33.9600,15.1733,3,23.7600,9.5682,22,5.6052,,"2022,2023,2024"
walk_forward,2025,2,naive,2,Russell Wilson,QB,NYG,30.3000,1.8067,3,23.7600,9.5682,22,-7.7615,,"2022,2023,2024"
walk_forward,2025,2,naive,3,Ja'Marr Chase,WR,CIN,29.5000,12.4000,3,23.7600,2.9889,78,9.4111,,"2022,2023,2024"
walk_forward,2025,3,repo,1,A.J. Brown,WR,PHI,19.9000,6.5000,3,23.5900,2.7346,79,3.7654,2.9333,"2022,2023,2024"
