scheme,season,week,arm,n,mean_fwd3,mean_vs_pos,week_ceiling,min_span
wf_plus_pts,2023,10,naive,3,7.9444,4.1514,17.9667,3
wf_plus_pts,2023,10,repo,3,4.8500,2.6777,17.9667,2
wf_plus_pts,2023,11,naive,3,15.8667,6.8167,23.3267,2
wf_plus_pts,2023,11,repo,3,8.6333,6.5922,23.3267,3
wf_plus_pts,2023,12,naive,3,13.3500,6.5231,22.9400,2
wf_plus_pts,2023,12,repo,3,4.3000,-0.5080,22.9400,3
wf_plus_pts,2023,13,naive,3,13.2978,7.1309,20.6733,3
wf_plus_pts,2023,13,repo,3,6.6933,2.2522,20.6733,3
wf_plus_pts,2023,14,naive,3,10.8778,3.0072,21.4467,3
wf_plus_pts,2023,14,repo,3,5.4111,3.2153,21.4467,3
wf_plus_pts,2023,15,naive,3,8.9889,4.9135,20.6200,3
wf_plus_pts,2023,15,repo,3,8.4289,4.1780,20.6200,3
wf_plus_pts,2023,16,naive,3,13.9267,4.8204,20.7300,2
wf_plus_pts,2023,16,repo,3,8.5767,3.8908,20.7300,2
wf_plus_pts,2023,17,naive,3,8.2600,1.9478,20.8000,1
wf_plus_pts,2023,17,repo,3,8.7933,4.5114,20.8000,1
wf_plus_pts,2024,2,naive,3,6.7222,3.4821,25.1400,3
wf_plus_pts,2024,2,repo,3,11.9600,6.8914,25.1400,3
wf_plus_pts,2024,3,naive,3,8.1644,1.9099,25.8900,3
wf_plus_pts,2024,3,repo,3,8.3278,4.8805,25.8900,2
wf_plus_pts,2024,4,naive,3,15.6589,7.3417,26.1000,2
wf_plus_pts,2024,4,repo,3,13.9811,8.0831,26.1000,2
wf_plus_pts,2024,5,naive,3,13.3167,5.4233,21.5200,2
wf_plus_pts,2024,5,repo,3,15.0556,11.4745,21.5200,2
wf_plus_pts,2024,6,naive,3,9.5400,5.6809,19.4333,3
wf_plus_pts,2024,6,repo,3,6.9678,2.6683,19.4333,2
wf_plus_pts,2024,7,naive,3,12.0533,7.7313,21.1000,2
wf_plus_pts,2024,7,repo,3,6.7444,3.5724,21.1000,2
wf_plus_pts,2024,8,naive,3,17.0122,9.9165,21.5067,2
wf_plus_pts,2024,8,repo,3,7.6167,3.2848,21.5067,2
wf_plus_pts,2024,9,naive,3,15.6889,4.4100,24.2600,2
wf_plus_pts,2024,9,repo,3,11.6622,6.3855,24.2600,2
wf_plus_pts,2024,10,naive,3,15.2522,6.9912,25.7333,2
wf_plus_pts,2024,10,repo,3,12.4278,4.1668,25.7333,2
wf_plus_pts,2024,11,naive,3,13.4889,3.6916,25.7400,2
wf_plus_pts,2024,11,repo,3,13.9111,4.3950,25.7400,2
wf_plus_pts,2024,12,naive,3,10.6089,6.4090,17.5267,3
wf_plus_pts,2024,12,repo,3,9.0422,4.8423,17.5267,3
wf_plus_pts,2024,13,naive,3,10.5133,1.8237,17.4600,3
wf_plus_pts,2024,13,repo,3,3.9089,-0.6986,17.4600,3
wf_plus_pts,2024,14,naive,3,11.6889,8.3430,18.6667,3
wf_plus_pts,2024,14,repo,3,8.3000,6.4667,18.6667,3
wf_plus_pts,2024,15,naive,3,7.7800,4.2251,26.8267,3
wf_plus_pts,2024,15,repo,3,4.6444,1.0895,26.8267,3
wf_plus_pts,2024,16,naive,3,13.1267,6.1276,26.6800,2
wf_plus_pts,2024,16,repo,3,5.3767,0.8915,26.6800,2
wf_plus_pts,2024,17,naive,3,10.8000,4.0885,36.4400,1
wf_plus_pts,2024,17,repo,3,11.0533,4.0235,36.4400,1
wf_plus_pts,2025,2,naive,3,9.7933,2.4182,23.7600,3
wf_plus_pts,2025,2,repo,3,13.7778,10.8755,23.7600,3
wf_plus_pts,2025,3,naive,3,7.7067,2.6426,23.5900,3
wf_plus_pts,2025,3,repo,3,7.2000,4.1318,23.5900,3
wf_plus_pts,2025,4,naive,3,7.5400,2.5146,23.7333,2
wf_plus_pts,2025,4,repo,3,3.2689,-2.1613,23.7333,2
wf_plus_pts,2025,5,naive,3,12.7744,6.6595,23.8133,2
wf_plus_pts,2025,5,repo,3,14.3133,8.3197,23.8133,2
wf_plus_pts,2025,6,naive,3,15.0822,6.5068,27.0000,3
wf_plus_pts,2025,6,repo,3,8.5278,5.1530,27.0000,2
wf_plus_pts,2025,7,naive,3,14.4489,9.1685,27.5100,3
