overall_rank,pos_rank,player_display_name,position,team,season,week,score,score_lo,score_hi,proj_pts,proj_pts_lo,proj_pts_hi,snap,snap_jump,targets,tgt_share,eb_tgt_share,carries,carry_share,eb_car_share,receptions,air_yards_share,wopr_opp,kal_role,cusum,pts,pts_lag1,cum_before,rank_before,conformal_half_width,model_coverage
40,10,Adam Thielen,WR,PIT,2025,18,0.6336,0.3445,0.9228,2.4333,0.4333,8.2000,0.6700,0.0250,6,0.1765,0.0865,0,0.0000,0.0007,3,0.2062,15.0000,0.6588,1.8084,5.8000,2.4000,24.3000,78.0000,0.2891,0.7978
41,10,Chris Oladokun,QB,KC,2025,18,0.6322,0.3182,0.9463,11.7091,1.0267,20.7001,0.5500,-0.2950,0,0.0000,0.0003,1,0.0435,0.0980,0,0.0000,1.0000,0.7052,0.0000,-1.6800,7.7400,12.8800,27.0000,0.3140,0.7937
42,15,John Bates,TE,WAS,2025,18,0.6310,0.3454,0.9165,3.1269,0.8667,9.1667,0.5900,-0.0050,2,0.1538,0.0857,0,0.0000,0.0001,2,-0.0163,5.0000,0.5797,0.3184,9.3000,0.0000,18.0000,46.0000,0.2856,0.8300
43,11,Tyler Lockett,WR,LV,2025,18,0.6300,0.3409,0.9191,2.4000,0.4000,8.0333,0.5200,0.1000,5,0.2000,0.1179,0,0.0000,0.0006,1,0.1062,12.5000,0.5189,0.1866,1.0000,7.9000,50.1000,61.0000,0.2891,0.7978
44,16,Anthony Firkser,TE,DET,2025,18,0.6256,0.3400,0.9112,3.0667,0.8333,8.9000,0.7000,0.2500,3,0.0833,0.0607,0,0.0000,0.0002,2,-0.0280,7.5000,0.5856,1.7796,2.2000,0.0000,11.1000,52.0000,0.2856,0.8300
45,12,Demarcus Robinson,WR,SF,2025,18,0.6219,0.3328,0.9110,2.2943,0.3667,7.7001,0.8800,0.4850,4,0.1600,0.0876,0,0.0000,0.0034,3,0.2326,10.0000,0.6309,2.2682,3.9000,4.0000,43.3000,67.0000,0.2891,0.7978
46,17,Kylen Granson,TE,PHI,2025,18,0.6165,0.3309,0.9021,2.9667,0.8000,8.5082,0.7700,0.6200,5,0.1471,0.0317,0,0.0000,0.0001,4,0.0809,12.5000,0.4708,2.9641,7.0000,0.0000,4.0000,58.0000,0.2856,0.8300
47,18,Mike Gesicki,TE,CIN,2025,18,0.6152,0.3296,0.9007,2.9502,0.8000,8.3586,0.3800,0.0250,2,0.0526,0.1035,0,0.0000,0.0001,2,0.0415,5.0000,0.3677,0.0000,3.3000,6.7000,67.4000,24.0000,0.2856,0.8300
48,19,Ben Sinnott,TE,WAS,2025,18,0.6123,0.3268,0.8979,2.9010,0.7843,8.3000,0.5500,-0.1000,2,0.1538,0.0823,0,0.0000,0.0001,2,0.0000,5.0000,0.5673,0.1539,2.3000,5.9000,26.1000,41.0000,0.2856,0.8300
49,20,Noah Gray,TE,KC,2025,18,0.6116,0.3261,0.8972,2.9000,0.7667,8.2934,0.5600,0.0600,5,0.1667,0.0833,0,0.0000,0.0001,3,0.1121,12.5000,0.5198,0.0000,6.0000,1.2000,32.8000,38.0000,0.2856,0.8300
50,21,Taysom Hill,TE,NO,2025,18,0.6079,0.3223,0.8935,2.8667,0.7500,8.1000,0.3400,0.0550,3,0.1500,0.0435,0,0.0000,0.1837,3,0.0107,7.5000,0.2913,1.3314,6.2000,0.0000,35.5800,37.0000,0.2856,0.8300
51,8,Jaret Patterson,RB,LAC,2025,18,0.6073,0.3044,0.9102,1.7333,0.1500,7.3333,0.7900,0.6150,4,0.1053,0.0274,8,0.3810,0.2169,3,-0.0025,18.0000,0.4736,6.3552,5.2000,0.1000,19.0000,57.0000,0.3029,0.8092
52,11,Riley Leonard,QB,IND,2025,18,0.6070,0.2930,0.9211,11.0700,0.4522,19.5901,1.0000,0.9550,0,0.0000,0.0002,3,0.1071,0.0609,0,0.0000,3.0000,0.5749,1.6423,22.6000,-2.0000,8.4000,30.0000,0.3140,0.7937
53,13,Isaiah Hodgins,WR,NYG,2025,18,0.5987,0.3096,0.8878,2.0667,0.2667,6.8015,0.9600,0.1200,2,0.0625,0.1051,0,0.0000,0.0010,0,0.2011,5.0000,0.8920,1.2248,0.0000,1.3000,22.5000,80.0000,0.2891,0.7978
54,22,Isaiah Likely,TE,BAL,2025,18,0.5982,0.3127,0.8838,2.7412,0.7000,7.8000,0.4900,-0.0600,2,0.1176,0.1227,0,0.0000,0.0001,2,0.1356,5.0000,0.5413,0.0000,5.2000,5.7000,56.5000,29.0000,0.2856,0.8300
55,9,Jaleel McLaughlin,RB,DEN,2025,18,0.5954,0.2925,0.8983,1.6333,0.1000,6.7766,0.2200,0.0350,2,0.1000,0.0269,6,0.1935,0.1874,1,-0.4231,11.0000,0.2011,1.9714,6.3000,4.0000,23.1000,53.0000,0.3029,0.8092
56,14,Malachi Corley,WR,CLE,2025,18,0.5875,0.2984,0.8767,2.0000,0.1500,6.5000,0.4200,0.0050,2,0.0952,0.0600,3,0.1250,0.0389,2,0.0051,8.0000,0.3890,3.2687,4.8000,0.9000,21.3000,84.0000,0.2891,0.7978
57,15,Kyle Williams,WR,NE,2025,18,0.5860,0.2969,0.8751,1.9667,0.1333,6.4870,0.4600,-0.1550,0,0.0000,0.0542,1,0.0294,0.0050,0,0.0000,1.0000,0.5129,2.4797,0.5000,3.5000,43.7000,64.0000,0.2891,0.7978
